SampleID	PC1	PC2	PC3	Group
ADD_1	0.0363078	-0.0875315	-0.00671186	A
ADD_2	-0.0957209	0.0139071	-0.00743667	A
ADD_3	0.0636626	0.0822001	-0.0330664	A
ASA_1	0.0396654	-0.0975234	-0.0142446	A
ASA_3	0.0685338	0.0881504	-0.0415475	A
BB_1	0.0379585	-0.0937577	-0.0103655	A
BB_2	-0.102735	0.0136057	-0.0115093	A
BF_1	0.03657	-0.0884885	-0.0063684	A
BF_2	-0.0963068	0.0138439	-0.00521208	A
BF_3	0.0638262	0.0822523	-0.0334725	A
BRA_1	0.0372479	-0.090623	-0.00846948	A
BRA_2	-0.0980344	0.0136373	-0.00875671	A
BRA_3	0.0643386	0.0830173	-0.0348232	A
Cerebellum_1	0.0385384	-0.096832	-0.0140893	A
Cerebellum_2	-0.107081	0.0132884	-0.0147134	A
Cerebellum_3	0.0672783	0.0859791	-0.041099	A
Cerebrum_1	0.0382386	-0.0944952	-0.0125223	A
Cerebrum_2	-0.109649	0.0139961	-0.0154294	A
Cerebrum_3	0.0669705	0.0857974	-0.040097	A
Colon_1	0.0383607	-0.0939938	-0.0131262	A
Colon_2	-0.107236	0.0142122	-0.0151176	A
Colon_3	0.0687325	0.0882485	-0.042962	A
DAP_1	0.0369977	-0.0868147	0.00160383	A
DAP_2	-0.0943774	0.0128297	-0.00709139	A
DAP_3	0.0649729	0.0836534	-0.0353254	A
DSP_1	0.0369768	-0.0899961	-0.00784335	A
DSP_2	-0.100134	0.0138916	-0.00888042	A
DSP_3	0.062963	0.0811095	-0.0320969	A
EDC_1	0.0377834	-0.092937	-0.00987485	B
EDC_2	-0.0968701	0.0126919	-0.00864821	B
EDC_3	0.0642441	0.0828217	-0.0340914	B
EDL-F_1	0.0362385	-0.0881617	-0.00618076	B
EDL-F_2	-0.0972178	0.0134823	-0.00828504	B
EDL-F_3	0.0647242	0.0837828	-0.0347994	B
EDL-H_1	0.0369311	-0.0910265	-0.00906796	B
EDL-H_2	-0.0954086	0.0136451	-0.00782921	B
EDL-H_3	0.0577914	0.0482547	-0.0256764	B
FDP-F_1	0.0379222	-0.0932332	-0.00997839	B
FDP-F_2	-0.0981508	0.0132756	-0.0083966	B
FDP-F_3	0.0643815	0.0832182	-0.0345048	B
FDP-H_1	0.0339229	-0.0828309	-0.00659316	B
FDP-H_3	0.0650468	0.0840255	-0.0353557	B
FDS-F_1	0.0383811	-0.094907	-0.0112567	B
FDS-F_2	-0.0982746	0.0135287	-0.00886451	B
FDS-H_1	0.0365759	-0.0897433	-0.0078022	B
FDS-H_2	-0.0977674	0.0134433	-0.00879535	B
FDS-H_3	0.0644736	0.0833382	-0.0343419	B
GAS-L_1	0.0378563	-0.0934733	-0.0103663	B
GAS-L_2	-0.0992927	0.0133216	-0.00941993	B
GAS-L_3	0.0646502	0.0832865	-0.0352284	B
GAS-M_1	0.0355887	-0.0879224	-0.00853693	B
GAS-M_2	-0.097217	0.0137062	-0.00831523	B
GAS-M_3	0.0626439	0.0808992	-0.0316592	B
GM_1	0.0370767	-0.0907634	-0.00870055	B
GM_2	-0.0991636	0.0135616	-0.0092382	B
GM_3	0.0644083	0.0830457	-0.0336739	B
GOM_1	0.0412289	-0.101768	-0.0164637	B
GOM_2	-0.107269	0.0143864	-0.0148837	B
GOM_3	0.0688285	0.0881306	-0.0425204	B
GRA_1	0.0359448	-0.0870915	-0.00634666	B
GRA_2	-0.09729	0.013509	-0.00852267	B
GRA_3	0.0622061	0.0802406	-0.0319365	B
